id,created_at,likes,name,url,daily_likes
01004,2024-10-12 15:55:13+00:00,14,Four Mystics One Collection - Vampire Agnes,https://arkhamdb.com/decklist/view/51176/four-mystics-one-collection-vampire-agnes-1.0,1.5406925535504987e-11
01004,2023-11-10 21:37:01+00:00,72,Parallel Agnes Goes Infinite (by Drawing Encounter Cards),https://arkhamdb.com/decklist/view/45399/parallel-agnes-goes-infinite-by-drawing-encounter-cards-1.0,1.5118486816634877e-11
01004,2023-03-03 17:23:11+00:00,143,Cursed Nightmares Agnes|20k Series|Deck Guide,https://arkhamdb.com/decklist/view/41840/cursed-nightmares-agnes-20k-series-deck-guide-1.0,1.201042146417475e-11
01004,2021-11-02 21:07:50+00:00,412,Better Starter Decks - Agnes Baker,https://arkhamdb.com/decklist/view/33944/better-starter-decks-agnes-baker-2.0,8.996570401716814e-12
01004,2024-09-12 00:17:25+00:00,6,Agnes Baker – Revised Core Set Starter Deck,https://arkhamdb.com/decklist/view/50514/agnes-baker-revised-core-set-starter-deck-1.0,5.500244479453229e-12
01004,2024-06-07 18:00:20+00:00,10,Parallel Agnes Baker the Blood Mage,https://arkhamdb.com/decklist/view/48960/parallel-agnes-baker-the-blood-mage-1.0,5.44892896612365e-12
01004,2022-12-27 05:43:33+00:00,58,Skill Balanced Starter Decks - Agnes Baker,https://arkhamdb.com/decklist/view/40742/skill-balanced-starter-decks-agnes-baker-1.0,3.935242591393118e-12
01004,2024-07-09 03:37:41+00:00,6,Spellcaster Agnes Baker a Self-Flagellant Sadist,https://arkhamdb.com/decklist/view/49379/spellcaster-agnes-baker-a-self-flagellant-sadist-1.0,3.840661550788065e-12
01004,2020-04-03 16:36:25+00:00,551,Agnes Baker - Structure Deck Series ( Core Set ),https://arkhamdb.com/decklist/view/20532/agnes-baker-structure-deck-series-core-set-1.0,3.673113035129557e-12
01005,2023-05-08 23:47:20+00:00,214,Daredevil Darling 2023 (Deck Update),https://arkhamdb.com/decklist/view/43011/daredevil-darling-2023-deck-update-1.0,2.2427166457640788e-11
01005,2022-01-17 18:32:45+00:00,433,Daredevil Darling (Deck Guide),https://arkhamdb.com/decklist/view/35461/daredevil-darling-deck-guide-1.0,1.1367782337013385e-11
01005,2024-06-23 17:54:36+00:00,19,Wendy Adams - Blackmailing Snitch (21 xp),https://arkhamdb.com/decklist/view/49179/wendy-adams-blackmailing-snitch-21-xp-1.0,1.1241650202564513e-11
01005,2023-06-30 17:41:46+00:00,87,Wendy Has Nothing Left to Lose|30k Series|Deck Guide,https://arkhamdb.com/decklist/view/43765/wendy-has-nothing-left-to-lose-30k-series-deck-guide-1.0,1.0988087237405899e-11
01005,2021-11-02 21:08:06+00:00,385,Better Starter Decks - Wendy Adams,https://arkhamdb.com/decklist/view/33945/better-starter-decks-wendy-adams-2.0,8.406989331701392e-12
01005,2024-09-12 00:13:04+00:00,9,Wendy Adams – Revised Core Set Starter Deck,https://arkhamdb.com/decklist/view/50512/wendy-adams-revised-core-set-starter-deck-1.0,8.250366719179844e-12
01005,2024-02-23 01:51:16+00:00,21,Learning True Solo (#2) with Wendy Adams,https://arkhamdb.com/decklist/view/47163/learning-true-solo-2-with-wendy-adams-1.0,6.8831286395553984e-12
01005,2024-08-09 10:13:20+00:00,8,Wendy Adams Tempts Fate (After breaking both of Fate's legs ,https://arkhamdb.com/decklist/view/49869/wendy-adams-tempts-fate-after-breaking-both-of-fate-s-legs-1.0,6.087925546569202e-12
01005,2024-11-25 19:02:04+00:00,4,Wendy Adams - Infinite Daredevil (no taboo),https://arkhamdb.com/decklist/view/51879/wendy-adams-infinite-daredevil-no-taboo-1.0,5.788360345481537e-12
01005,2024-04-09 16:38:28+00:00,12,Starter x R.Core Series : Wendifred Habbamock,https://arkhamdb.com/decklist/view/48098/starter-x-r-core-series-wendifred-habbamock-1.0,4.890457304051946e-12
02001,2024-05-05 10:52:37+00:00,219,100% Guaranteed | HC 1K Series,https://arkhamdb.com/decklist/view/48444/100-guaranteed-hc-1k-series-1.0,1.0118824635773676e-10
02001,2023-07-13 18:38:22+00:00,130,Zoey Reyes: The Relic Hunter,https://arkhamdb.com/decklist/view/43917/zoey-reyes-the-relic-hunter-1.0,1.7210207581923947e-11
02001,2024-10-16 00:16:45+00:00,13,Zoey true solo,https://arkhamdb.com/decklist/view/51257/zoey-true-solo-1.0,1.4567909975352955e-11
02001,2024-03-21 16:50:27+00:00,37,Parallel Zoey - Killing In the Name,https://arkhamdb.com/decklist/view/47844/parallel-zoey-killing-in-the-name-1.0,1.37890623070437e-11
02001,2022-03-25 14:35:58+00:00,429,"BruiZ-oey, Monster Cook|Revised+TDL+EotE|Beginner Deck Guide",https://arkhamdb.com/decklist/view/36478/bruiz-oey-monster-cook-revised-tdl-eote-beginner-deck-guide-1.0,1.3341615357510384e-11
02001,2024-11-11 12:20:03+00:00,10,Clueless XZoey is a helpful psycho,https://arkhamdb.com/decklist/view/51681/clueless-xzoey-is-a-helpful-psycho-1.0,1.3237774393363944e-11
02001,2024-01-07 04:01:33+00:00,29,Down the Rabbit Hole to the Underworld,https://arkhamdb.com/decklist/view/46242/down-the-rabbit-hole-to-the-underworld-1.0,7.727217088997292e-12
02001,2020-04-16 23:57:46+00:00,916,Zoey Samaras - Structure Deck Series ( Dunwich Legacy ),https://arkhamdb.com/decklist/view/21325/zoey-samaras-structure-deck-series-dunwich-legacy-1.0,6.250349788598737e-12
02001,2023-06-06 11:54:33+00:00,51,Zoey does not worry about upgrades and XP,https://arkhamdb.com/decklist/view/43454/zoey-does-not-worry-about-upgrades-and-xp-1.0,5.913281066646909e-12
02001,2022-01-02 16:47:36+00:00,227,21 Thump Street (Deck Guide),https://arkhamdb.com/decklist/view/35159/21-thump-street-deck-guide-1.0,5.7430493072963585e-12
02002,2024-04-28 11:09:36+00:00,75,Dusting and Cleaning (29XP) | HC 1K Series,https://arkhamdb.com/decklist/view/48331/dusting-and-cleaning-29xp-hc-1k-series-1.0,3.3489489817567405e-11
02002,2022-03-21 23:35:41+00:00,1088,Clue Vacuuming Rex|Revised+EotE+TDL|Beginner Deck Guide,https://arkhamdb.com/decklist/view/36402/clue-vacuuming-rex-revised-eote-tdl-beginner-deck-guide-1.0,3.3489141608631295e-11
02002,2023-10-26 07:54:17+00:00,60,Rex Errant: Jailbreaking the Necronomicon,https://arkhamdb.com/decklist/view/45250/rex-errant-jailbreaking-the-necronomicon-1.0,1.1811684266287053e-11
02002,2024-10-06 19:31:43+00:00,11,Grim Rex (||/OG) - Full Guide,https://arkhamdb.com/decklist/view/51052/grim-rex-og-full-guide-1.0,1.1677494017480767e-11
02002,2020-04-21 00:35:45+00:00,766,Rex Murphy - Structure Deck Series ( Dunwich Legacy ),https://arkhamdb.com/decklist/view/21596/rex-murphy-structure-deck-series-dunwich-legacy-1.0,5.2645916206539575e-12
02002,2024-11-12 19:07:03+00:00,3,Duplicate Money Reporter,https://arkhamdb.com/decklist/view/51697/duplicate-money-reporter-1.0,3.9964291963852604e-12
02002,2024-10-31 02:49:02+00:00,3,Droppin' curses and clues,https://arkhamdb.com/decklist/view/51474/droppin-curses-and-clues-1.0,3.684862414433315e-12
02002,2023-09-10 06:18:50+00:00,22,Fingerprint Kit 4 is really good and uses supplies,https://arkhamdb.com/decklist/view/44717/fingerprint-kit-4-is-really-good-and-uses-supplies-1.0,3.617044166948684e-12
02002,2024-07-30 15:46:40+00:00,5,Exponential Growth Rex,https://arkhamdb.com/decklist/view/49675/exponential-growth-rex-1.0,3.601963075203692e-12
02002,2024-09-01 09:59:56+00:00,4,Curse Reporting | Rex's Alter Guide,https://arkhamdb.com/decklist/view/50305/curse-reporting-rex-s-alter-guide-1.0,3.4626622148189194e-12
02003,2024-09-24 17:26:54+00:00,50,The Jenny Barnes of a Thousand (actually just 5) Masks,https://arkhamdb.com/decklist/view/50842/the-jenny-barnes-of-a-thousand-actually-just-5-masks-1.0,4.9437983192587006e-11
02003,2022-03-29 13:34:34+00:00,565,MoJenny Rules the World|Revised+EotE+TDL|Beginner Deck Guide,https://arkhamdb.com/decklist/view/36548/mojenny-rules-the-world-revised-eote-tdl-beginner-deck-guide-1.0,1.7753605768387187e-11
02003,2024-08-07 07:23:12+00:00,12,|| Parallel Jenny Conquers the Mythos ||,https://arkhamdb.com/decklist/view/49831/parallel-jenny-conquers-the-mythos-1.0,8.982245300066712e-12
02003,2023-07-20 17:48:40+00:00,60,Jenny Gets a Magic Compass,https://arkhamdb.com/decklist/view/44017/jenny-gets-a-magic-compass-1.0,8.148836630764465e-12
02003,2024-10-30 09:19:25+00:00,6,Talented Parallel Jenny Does Everything,https://arkhamdb.com/decklist/view/51461/talented-parallel-jenny-does-everything-1.0,7.324325639497892e-12
02003,2024-05-15 00:49:15+00:00,15,Jenny Makes The World Go 'Round - Dunwich Legacy Winner!,https://arkhamdb.com/decklist/view/48599/jenny-makes-the-world-go-round-dunwich-legacy-winner-1.0,7.244933801425341e-12
02003,2024-08-29 17:07:30+00:00,6,|| Parallel Jenny is So Talented ||,https://arkhamdb.com/decklist/view/50249/parallel-jenny-is-so-talented-1.0,5.106258874729404e-12
02003,2023-12-07 06:33:22+00:00,20,⌂ 2 Packs Deck Guide : A Reliable Fighter Jenny,https://arkhamdb.com/decklist/view/45797/2-packs-deck-guide-a-reliable-fighter-jenny-1.0,4.673773282747554e-12
02003,2024-08-08 04:19:26+00:00,6,Crazy Jenny Sees the Stars,https://arkhamdb.com/decklist/view/49855/crazy-jenny-sees-the-stars-1.0,4.5158933578338014e-12
02003,2020-05-03 13:05:57+00:00,527,Jenny Barnes - Structure Deck Series ( Dunwich Legacy ),https://arkhamdb.com/decklist/view/22128/jenny-barnes-structure-deck-series-dunwich-legacy-1.0,3.708059118532818e-12
02004,2024-10-23 19:22:47+00:00,44,Jim's Winchester of the Dead,https://arkhamdb.com/decklist/view/51359/jim-s-winchester-of-the-dead-1.0,5.1766594688546975e-11
02004,2024-05-22 03:29:09+00:00,83,(Parallel) Jim Perfected [GUIDE],https://arkhamdb.com/decklist/view/48699/parallel-jim-perfected-guide-1.0,4.150885441333126e-11
02004,2023-05-12 22:50:01+00:00,117,Jim Recalls His Future Hip Hop Gigs|30k Series|Deck Guide,https://arkhamdb.com/decklist/view/43070/jim-recalls-his-future-hip-hop-gigs-30k-series-deck-guide-1.0,1.2431942142706371e-11
02004,2022-03-27 15:24:08+00:00,320,True Ma-Jim|Revised+TDL+EotE|Beginner Deck Guide,https://arkhamdb.com/decklist/view/36513/true-ma-jim-revised-tdl-eote-beginner-deck-guide-1.0,1.0003298398182166e-11
02004,2023-08-07 18:28:41+00:00,38,Pacific Jim - A Kaiju Mystic,https://arkhamdb.com/decklist/view/44272/pacific-jim-a-kaiju-mystic-1.0,5.515548930987871e-12
02004,2023-12-06 03:20:08+00:00,19,Spirited Away - Value Parallel Jim,https://arkhamdb.com/decklist/view/45783/spirited-away-value-parallel-jim-1.0,4.421628228471543e-12
02004,2024-05-17 09:31:08+00:00,7,Jim finally breaks the curse (of unplayability),https://arkhamdb.com/decklist/view/48633/jim-finally-breaks-the-curse-of-unplayability-2.0,3.4146665447726407e-12
02004,2024-10-02 19:48:12+00:00,3,One for All Jim - One Collection for Every Investigator,https://arkhamdb.com/decklist/view/50992/one-for-all-jim-one-collection-for-every-investigator-2.0,3.109792459282098e-12
02004,2023-11-20 00:44:28+00:00,14,Parallel Jim culver cursed build with Olive Mcbride + Fey,https://arkhamdb.com/decklist/view/45548/parallel-jim-culver-cursed-build-with-olive-mcbride-fey-1.0,3.0496737642155823e-12
02004,2024-03-15 21:48:52+00:00,7,(Parallel) The Curse of Friendship,https://arkhamdb.com/decklist/view/47694/parallel-the-curse-of-friendship-1.0,2.5370960611385967e-12
02005,2024-03-12 01:10:08+00:00,78,"Unstoppable Survivor (True Solo, Normal/Hard) Updated 2024",https://arkhamdb.com/decklist/view/47635/unstoppable-survivor-true-solo-normal-hard-updated-2024-1.0,2.775332255442859e-11
02005,2024-04-07 11:00:46+00:00,59,Town Scryer | HC 1K Series,https://arkhamdb.com/decklist/view/48072/town-scryer-hc-1k-series-1.0,2.381733751616649e-11
02005,2024-05-29 00:35:27+00:00,36,Parallel Pete Perfected [Guide],https://arkhamdb.com/decklist/view/48775/parallel-pete-perfected-guide-1.0,1.8647081602151646e-11
